_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
603a86df0a720fde100001e3,25,COMPLETE_NONPARTNER_RECEIPT,1.61445E+12,1.61445E+12,,1.61445E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603aa55a0a7217c72c000233,,,1.61446E+12,1.61446E+12,,1.61446E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6039f7e30a7217c72c00019a,25,COMPLETE_NONPARTNER_RECEIPT,1.61441E+12,1.61441E+12,,1.61441E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603a72f60a7217c72c000206,,,1.61444E+12,1.61444E+12,,1.61444E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603a70a10a720fde100001d9,,,1.61444E+12,1.61444E+12,,1.61444E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603aab2f0a7217c72c00023a,25,COMPLETE_NONPARTNER_RECEIPT,1.61446E+12,1.61446E+12,,1.61446E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603abdf60a7217c72c00024d,,,1.61446E+12,1.61446E+12,,1.61446E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603a85b70a720fde100001e2,,,1.61445E+12,1.61445E+12,,1.61445E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603a221b0a7217c72c0001c1,,,1.61442E+12,1.61442E+12,,1.61442E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603b9a3f0a720fde100002d3,25,COMPLETE_NONPARTNER_RECEIPT,1.61452E+12,1.61452E+12,,1.61452E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
